"room_id","topic","duplicate_statement_id","duplicate_text","duplicate_timestamp","target_statement_id","target_text","target_timestamp","similarity","target_was_already_duplicate"
"fksripew6vimocyncyw","Scalability test room","bw771p32aw8mocyndpg","Food trucks add vibrancy to urban commercial corridors","1777038340744","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","sl9o6abqwhmocyndph","The city should invest more in public transit infrastructure","1777038347125","5yuaglu5wu9mocyndph","The city should invest more in public transit infrastructure","1777038303085","1","false"
"fksripew6vimocyncyw","Scalability test room","7a9ia7ldf1tmocyndph","Farmers markets support local food systems","1777038350316","7i7mz09octmocyndpg","Farmers markets support local food systems","1777038297563","1","false"
"fksripew6vimocyncyw","Scalability test room","5uzonbernmomocyndph","Electric vehicle charging should be publicly funded","1777038356630","0iahd8bgt0nnmocyndph","Electric vehicle charging should be publicly funded","1777038233357","1","false"
"fksripew6vimocyncyw","Scalability test room","n90c91hc2dfmocyndpg","Public libraries are essential community infrastructure","1777038363245","a8un82hevjmocyndph","Public libraries are essential community infrastructure","1777038298788","1","false"
"fksripew6vimocyncyw","Scalability test room","mfmngq5udlmocyndpg","Affordable housing quotas should apply to all new developments","1777038365877","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","qvcwhneu3bmocyndph","Solar panels should be required on all new construction","1777038366281","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","vqzvyj112rmmocyndpg","The city should invest more in public transit infrastructure","1777038367745","5yuaglu5wu9mocyndph","The city should invest more in public transit infrastructure","1777038303085","1","false"
"fksripew6vimocyncyw","Scalability test room","59ksd4ucflhmocyndph","Electric vehicle charging should be publicly funded","1777038368381","0iahd8bgt0nnmocyndph","Electric vehicle charging should be publicly funded","1777038233357","1","false"
"fksripew6vimocyncyw","Scalability test room","s3ysaoy5ndmmocyndph","Local businesses deserve priority over national chains","1777038377576","i8t7rph3eabmocyndph","Local businesses deserve priority over national chains","1777038211631","1","false"
"fksripew6vimocyncyw","Scalability test room","m054t7my0qgmocyndpg","Historic preservation limits necessary urban growth","1777038389152","9lohmtyxcdlmocyndpg","Historic preservation limits necessary urban growth","1777038333348","1","false"
"fksripew6vimocyncyw","Scalability test room","g8qhdr2thuomocyndpg","The city should invest more in public transit infrastructure","1777038392107","5yuaglu5wu9mocyndph","The city should invest more in public transit infrastructure","1777038303085","1","false"
"fksripew6vimocyncyw","Scalability test room","smzmwbwpr1lmocyndph","The city should invest more in public transit infrastructure","1777038395571","5yuaglu5wu9mocyndph","The city should invest more in public transit infrastructure","1777038303085","1","false"
"fksripew6vimocyncyw","Scalability test room","32dgvizayhjmocyndph","Trees on residential streets should be protected by law","1777038395620","ou1m2ysw7rmocyndpg","Trees on residential streets should be protected by law","1777038208005","1","false"
"fksripew6vimocyncyw","Scalability test room","dshp5z0dircmocyndpg","Pedestrian-first street design reduces traffic accidents","1777038397099","38jtdv5c7lfmocyndph","Pedestrian-first street design reduces traffic accidents","1777038277030","1","false"
"fksripew6vimocyncyw","Scalability test room","6d9qx88fhplmocyndph","Trees on residential streets should be protected by law","1777038404574","ou1m2ysw7rmocyndpg","Trees on residential streets should be protected by law","1777038208005","1","false"
"fksripew6vimocyncyw","Scalability test room","xmnamj7vhkmocyndpg","Rent control protects long-term residents from displacement","1777038408044","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","iv047hb3anmocyndph","Mixed-use zoning makes neighborhoods more livable","1777038416010","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","hpeokgz9daomocyndph","Mixed-use zoning makes neighborhoods more livable","1777038421747","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","qncjedxsx6mmocyndpg","Street parking fees should fund public transportation","1777038425314","53zoz9ljx38mocyndph","Street parking fees should fund public transportation","1777038214655","1","false"
"fksripew6vimocyncyw","Scalability test room","46wrowdelyxmocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038436442","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","unn6ylu3f9nmocyndpg","Pedestrian-first street design reduces traffic accidents","1777038437372","38jtdv5c7lfmocyndph","Pedestrian-first street design reduces traffic accidents","1777038277030","1","false"
"fksripew6vimocyncyw","Scalability test room","yernfq03zapmocyndpg","Community gardens strengthen neighborhood social bonds","1777038438058","sjn272sictmocyndpg","Community gardens strengthen neighborhood social bonds","1777038428865","1","false"
"fksripew6vimocyncyw","Scalability test room","iau0bk6k3rmocyndph","Farmers markets support local food systems","1777038440970","7i7mz09octmocyndpg","Farmers markets support local food systems","1777038297563","1","false"
"fksripew6vimocyncyw","Scalability test room","ig93212f4kmocyndph","Public libraries are essential community infrastructure","1777038441507","a8un82hevjmocyndph","Public libraries are essential community infrastructure","1777038298788","1","false"
"fksripew6vimocyncyw","Scalability test room","8zc3id1hzmamocyndph","Historic preservation limits necessary urban growth","1777038448954","9lohmtyxcdlmocyndpg","Historic preservation limits necessary urban growth","1777038333348","1","false"
"fksripew6vimocyncyw","Scalability test room","nvcy20igwlmocyndpg","Food trucks add vibrancy to urban commercial corridors","1777038449381","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","hy9sizi5fplmocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038451744","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","xrybtlu92zbmocyndpg","Remote work has permanently changed how we use office space","1777038452124","2l12sa9n8k8mocyndph","Remote work has permanently changed how we use office space","1777038235211","1","false"
"fksripew6vimocyncyw","Scalability test room","om9qcemipafmocyndph","Rent control protects long-term residents from displacement","1777038453358","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","c66dc5se4l8mocyndph","Farmers markets support local food systems","1777038453868","7i7mz09octmocyndpg","Farmers markets support local food systems","1777038297563","1","false"
"fksripew6vimocyncyw","Scalability test room","xvqk2gnrdapmocyndpg","Local businesses deserve priority over national chains","1777038455063","i8t7rph3eabmocyndph","Local businesses deserve priority over national chains","1777038211631","1","false"
"fksripew6vimocyncyw","Scalability test room","0i1es6z3728nmocyndph","Trees on residential streets should be protected by law","1777038457947","ou1m2ysw7rmocyndpg","Trees on residential streets should be protected by law","1777038208005","1","false"
"fksripew6vimocyncyw","Scalability test room","f1bj6de8uf7mocyndpg","Green spaces improve mental health in urban environments","1777038458376","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","3ux9tkjtfsymocyndpg","Urban density reduces per-capita carbon footprint","1777038459271","vijo8zfil3mocyndph","Urban density reduces per-capita carbon footprint","1777038231228","1","false"
"fksripew6vimocyncyw","Scalability test room","ygvo9pbzygjmocyndph","Green spaces improve mental health in urban environments","1777038463602","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","yjgg5he3ghmocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038463655","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","gymovfqq44imocyndph","Noise ordinances should be stricter in residential zones","1777038473384","hrmyaoizjhpmocyndpg","Noise ordinances should be stricter in residential zones","1777038185569","1","false"
"fksripew6vimocyncyw","Scalability test room","fdiffyz3mnfmocyndpg","Food trucks add vibrancy to urban commercial corridors","1777038474751","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","ulnwo0d2qhcmocyndpg","Affordable housing quotas should apply to all new developments","1777038488827","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","zys014j5qtmocyndpg","Electric vehicle charging should be publicly funded","1777038489655","0iahd8bgt0nnmocyndph","Electric vehicle charging should be publicly funded","1777038233357","1","false"
"fksripew6vimocyncyw","Scalability test room","p15zqv4g3agmocyndpg","Remote work has permanently changed how we use office space","1777038492140","2l12sa9n8k8mocyndph","Remote work has permanently changed how we use office space","1777038235211","1","false"
"fksripew6vimocyncyw","Scalability test room","p7eyjlh63xrmocyndph","Street parking fees should fund public transportation","1777038496746","53zoz9ljx38mocyndph","Street parking fees should fund public transportation","1777038214655","1","false"
"fksripew6vimocyncyw","Scalability test room","dtnqzh6ze5mocyndph","Trees on residential streets should be protected by law","1777038498720","ou1m2ysw7rmocyndpg","Trees on residential streets should be protected by law","1777038208005","1","false"
"fksripew6vimocyncyw","Scalability test room","l6pbh1lnqomocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038499439","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","5ym8zxkw4twmocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038505254","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","kttumpugbdemocyndpg","Rent control protects long-term residents from displacement","1777038509349","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","ddktxvfo8ztmocyndpg","Street parking fees should fund public transportation","1777038510203","53zoz9ljx38mocyndph","Street parking fees should fund public transportation","1777038214655","1","false"
"fksripew6vimocyncyw","Scalability test room","isio0z3mitimocyndpg","Local businesses deserve priority over national chains","1777038511628","i8t7rph3eabmocyndph","Local businesses deserve priority over national chains","1777038211631","1","false"
"fksripew6vimocyncyw","Scalability test room","zmz8wf1zqdmocyndph","The city should invest more in public transit infrastructure","1777038511930","5yuaglu5wu9mocyndph","The city should invest more in public transit infrastructure","1777038303085","1","false"
"fksripew6vimocyncyw","Scalability test room","6e5dd68jx36mocyndph","Food trucks add vibrancy to urban commercial corridors","1777038512752","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","91vkogqfu8mocyndph","Pedestrian-first street design reduces traffic accidents","1777038513232","38jtdv5c7lfmocyndph","Pedestrian-first street design reduces traffic accidents","1777038277030","1","false"
"fksripew6vimocyncyw","Scalability test room","5g4m7a4g81smocyndpg","Solar panels should be required on all new construction","1777038520963","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","6ufogwwvjxemocyndpg","Bike lanes should replace parking on main streets","1777038551977","ktvy17do6ommocyndpg","Bike lanes should replace parking on main streets","1777038488482","1","false"
"fksripew6vimocyncyw","Scalability test room","8bu4p494g3fmocyndph","Electric vehicle charging should be publicly funded","1777038552364","0iahd8bgt0nnmocyndph","Electric vehicle charging should be publicly funded","1777038233357","1","false"
"fksripew6vimocyncyw","Scalability test room","2kfkvv5g8hlmocyndpg","Green spaces improve mental health in urban environments","1777038552658","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","26k33bfrf7pmocyndph","Historic preservation limits necessary urban growth","1777038552970","9lohmtyxcdlmocyndpg","Historic preservation limits necessary urban growth","1777038333348","1","false"
"fksripew6vimocyncyw","Scalability test room","0iu9er353g1mmocyndph","Urban density reduces per-capita carbon footprint","1777038553847","vijo8zfil3mocyndph","Urban density reduces per-capita carbon footprint","1777038231228","1","false"
"fksripew6vimocyncyw","Scalability test room","nebk6u23uvmocyndpg","Noise ordinances should be stricter in residential zones","1777038554029","hrmyaoizjhpmocyndpg","Noise ordinances should be stricter in residential zones","1777038185569","1","false"
"fksripew6vimocyncyw","Scalability test room","mnrzda16338mocyndph","Rent control protects long-term residents from displacement","1777038554328","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","as23gngkfkmocyndph","Historic preservation limits necessary urban growth","1777038555660","9lohmtyxcdlmocyndpg","Historic preservation limits necessary urban growth","1777038333348","1","false"
"fksripew6vimocyncyw","Scalability test room","smc9bfd94pomocyndpg","Pedestrian-first street design reduces traffic accidents","1777038560307","38jtdv5c7lfmocyndph","Pedestrian-first street design reduces traffic accidents","1777038277030","1","false"
"fksripew6vimocyncyw","Scalability test room","4r8s5tkrc5imocyndpg","Food trucks add vibrancy to urban commercial corridors","1777038561084","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","1nompq51t4zmocyndph","Green spaces improve mental health in urban environments","1777038563014","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","11rkvayvczqbmocyndpg","Public libraries are essential community infrastructure","1777038568877","a8un82hevjmocyndph","Public libraries are essential community infrastructure","1777038298788","1","false"
"fksripew6vimocyncyw","Scalability test room","bojkr2j4t17mocyndpg","Remote work has permanently changed how we use office space","1777038572361","2l12sa9n8k8mocyndph","Remote work has permanently changed how we use office space","1777038235211","1","false"
"fksripew6vimocyncyw","Scalability test room","puashwm8t7smocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038574606","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","uutlq1c7tghmocyndpg","Food trucks add vibrancy to urban commercial corridors","1777038580991","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","n8fswd4lpommocyndpg","Public libraries are essential community infrastructure","1777038581668","a8un82hevjmocyndph","Public libraries are essential community infrastructure","1777038298788","1","false"
"fksripew6vimocyncyw","Scalability test room","ijpjd2vpz1mmocyndph","Pedestrian-first street design reduces traffic accidents","1777038582955","38jtdv5c7lfmocyndph","Pedestrian-first street design reduces traffic accidents","1777038277030","1","false"
"fksripew6vimocyncyw","Scalability test room","2mlas1gw6l4mocyndph","Bike lanes should replace parking on main streets","1777038586362","ktvy17do6ommocyndpg","Bike lanes should replace parking on main streets","1777038488482","1","false"
"fksripew6vimocyncyw","Scalability test room","5jwgudyeua3mocyndpg","Solar panels should be required on all new construction","1777038586770","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","660czaphhhbmocyndph","Noise ordinances should be stricter in residential zones","1777038590755","hrmyaoizjhpmocyndpg","Noise ordinances should be stricter in residential zones","1777038185569","1","false"
"fksripew6vimocyncyw","Scalability test room","fs3plwvg67qmocyndph","Solar panels should be required on all new construction","1777038591570","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","0tjssi1k6f9rmocyndpg","Community gardens strengthen neighborhood social bonds","1777038596121","sjn272sictmocyndpg","Community gardens strengthen neighborhood social bonds","1777038428865","1","false"
"fksripew6vimocyncyw","Scalability test room","1svkabzy9qmocyndph","Public libraries are essential community infrastructure","1777038597000","a8un82hevjmocyndph","Public libraries are essential community infrastructure","1777038298788","1","false"
"fksripew6vimocyncyw","Scalability test room","1adk47k1ltiimocyndph","Green spaces improve mental health in urban environments","1777038600658","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","r8ohfwgfr4mocyndpg","Urban density reduces per-capita carbon footprint","1777038607293","vijo8zfil3mocyndph","Urban density reduces per-capita carbon footprint","1777038231228","1","false"
"fksripew6vimocyncyw","Scalability test room","w4oiezqk5kimocyndph","Green spaces improve mental health in urban environments","1777038609541","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","q688nqpd6kmocyndph","Farmers markets support local food systems","1777038611663","7i7mz09octmocyndpg","Farmers markets support local food systems","1777038297563","1","false"
"fksripew6vimocyncyw","Scalability test room","82dxn0kfyv6mocyndph","Green spaces improve mental health in urban environments","1777038614089","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","61hc1jbgmfvmocyndph","Rent control protects long-term residents from displacement","1777038615332","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","24vntufn64amocyndph","The city should invest more in public transit infrastructure","1777038620180","5yuaglu5wu9mocyndph","The city should invest more in public transit infrastructure","1777038303085","1","false"
"fksripew6vimocyncyw","Scalability test room","6wgxctdt37mocyndph","Rent control protects long-term residents from displacement","1777038621011","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","2wzvrdoll13mocyndpi","Food trucks add vibrancy to urban commercial corridors","1777038621579","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","ge8nme91w7mocyndph","Historic preservation limits necessary urban growth","1777038625109","9lohmtyxcdlmocyndpg","Historic preservation limits necessary urban growth","1777038333348","1","false"
"fksripew6vimocyncyw","Scalability test room","d7yeoyh4snamocyndph","Noise ordinances should be stricter in residential zones","1777038629839","hrmyaoizjhpmocyndpg","Noise ordinances should be stricter in residential zones","1777038185569","1","false"
"fksripew6vimocyncyw","Scalability test room","qc80znue8n8mocyndpg","Historic preservation limits necessary urban growth","1777038636091","9lohmtyxcdlmocyndpg","Historic preservation limits necessary urban growth","1777038333348","1","false"
"fksripew6vimocyncyw","Scalability test room","006h46cyhlvxgmocyndpg","Remote work has permanently changed how we use office space","1777038636720","2l12sa9n8k8mocyndph","Remote work has permanently changed how we use office space","1777038235211","1","false"
"fksripew6vimocyncyw","Scalability test room","xwyjtxtdsfsmocyndph","Mixed-use zoning makes neighborhoods more livable","1777038636977","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","ux0fd7dl8kmocyndpg","Historic preservation limits necessary urban growth","1777038637168","9lohmtyxcdlmocyndpg","Historic preservation limits necessary urban growth","1777038333348","1","false"
"fksripew6vimocyncyw","Scalability test room","ly9pysnj2ybmocyndph","Trees on residential streets should be protected by law","1777038638301","ou1m2ysw7rmocyndpg","Trees on residential streets should be protected by law","1777038208005","1","false"
"fksripew6vimocyncyw","Scalability test room","5ieh3e8c1ajmocyndpg","Noise ordinances should be stricter in residential zones","1777038647512","hrmyaoizjhpmocyndpg","Noise ordinances should be stricter in residential zones","1777038185569","1","false"
"fksripew6vimocyncyw","Scalability test room","mm0vli9vfxrmocyndph","Street parking fees should fund public transportation","1777038650564","53zoz9ljx38mocyndph","Street parking fees should fund public transportation","1777038214655","1","false"
"fksripew6vimocyncyw","Scalability test room","2v0vhiwgeqrmocyndph","Rent control protects long-term residents from displacement","1777038652208","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","5kied2uzxikmocyndph","Affordable housing quotas should apply to all new developments","1777038655768","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","pt0xlzcyaqlmocyndph","Affordable housing quotas should apply to all new developments","1777038656812","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","75xpe94akommocyndpg","Mixed-use zoning makes neighborhoods more livable","1777038657517","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","5ea7k9gffi6mocyndph","Affordable housing quotas should apply to all new developments","1777038657559","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","gnsi1fkffx4mocyndpg","Trees on residential streets should be protected by law","1777038659007","ou1m2ysw7rmocyndpg","Trees on residential streets should be protected by law","1777038208005","1","false"
"fksripew6vimocyncyw","Scalability test room","9gz86m8d2lkmocyndph","Green spaces improve mental health in urban environments","1777038661205","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","88r965s62bgmocyndpg","Solar panels should be required on all new construction","1777038668150","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","m8oz69p8lipmocyndpg","Community gardens strengthen neighborhood social bonds","1777038672130","sjn272sictmocyndpg","Community gardens strengthen neighborhood social bonds","1777038428865","1","false"
"fksripew6vimocyncyw","Scalability test room","bwby18a4aqcmocyndpg","Affordable housing quotas should apply to all new developments","1777038682123","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","598bj2x7jffmocyndph","Solar panels should be required on all new construction","1777038682269","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","o2vcj91qb3bmocyndph","Affordable housing quotas should apply to all new developments","1777038683481","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","pkx87yip14lmocyndpg","Green spaces improve mental health in urban environments","1777038685082","4et2f6n7jgtmocyndpg","Green spaces improve mental health in urban environments","1777038223040","1","false"
"fksripew6vimocyncyw","Scalability test room","vkq8l1tqsabmocyndpg","Solar panels should be required on all new construction","1777038693422","n9wbepumm7smocyndph","Solar panels should be required on all new construction","1777038196508","1","false"
"fksripew6vimocyncyw","Scalability test room","yyb8ncwnwumocyndpg","Local businesses deserve priority over national chains","1777038696260","i8t7rph3eabmocyndph","Local businesses deserve priority over national chains","1777038211631","1","false"
"fksripew6vimocyncyw","Scalability test room","cn1hrru9yumocyndph","Mixed-use zoning makes neighborhoods more livable","1777038696484","f3jrnyn5ljimocyndph","Mixed-use zoning makes neighborhoods more livable","1777038212394","1","false"
"fksripew6vimocyncyw","Scalability test room","7nul0078facmocyndph","Local businesses deserve priority over national chains","1777038708203","i8t7rph3eabmocyndph","Local businesses deserve priority over national chains","1777038211631","1","false"
"fksripew6vimocyncyw","Scalability test room","0d53fdoimmg7mocyndph","Rent control protects long-term residents from displacement","1777038712895","0m2x18tokdfmocyndpg","Rent control protects long-term residents from displacement","1777038214129","1","false"
"fksripew6vimocyncyw","Scalability test room","kleb0k4cxzmocyndpg","Food trucks add vibrancy to urban commercial corridors","1777038715319","nm6lyi2gmmpmocyndph","Food trucks add vibrancy to urban commercial corridors","1777038259457","1","false"
"fksripew6vimocyncyw","Scalability test room","gn0vx5cl1xmocyndpg","Noise ordinances should be stricter in residential zones","1777038719455","hrmyaoizjhpmocyndpg","Noise ordinances should be stricter in residential zones","1777038185569","1","false"
"fksripew6vimocyncyw","Scalability test room","v0xuj2r3izmocyndph","The city should invest more in public transit infrastructure","1777038724908","5yuaglu5wu9mocyndph","The city should invest more in public transit infrastructure","1777038303085","1","false"
"fksripew6vimocyncyw","Scalability test room","mmurkn5x6ppmocyndpg","Noise ordinances should be stricter in residential zones","1777038730559","hrmyaoizjhpmocyndpg","Noise ordinances should be stricter in residential zones","1777038185569","1","false"
"fksripew6vimocyncyw","Scalability test room","rkvbpz9w9jimocyndph","Remote work has permanently changed how we use office space","1777038737265","2l12sa9n8k8mocyndph","Remote work has permanently changed how we use office space","1777038235211","1","false"
"fksripew6vimocyncyw","Scalability test room","glo4twtuprlmocyndpg","Remote work has permanently changed how we use office space","1777038739287","2l12sa9n8k8mocyndph","Remote work has permanently changed how we use office space","1777038235211","1","false"
"fksripew6vimocyncyw","Scalability test room","h7nys5v8ivsmocyndpg","Affordable housing quotas should apply to all new developments","1777038739383","ymwt7s753yemocyndph","Affordable housing quotas should apply to all new developments","1777038191245","1","false"
"fksripew6vimocyncyw","Scalability test room","ccyberqewvhmocyndpg","Electric vehicle charging should be publicly funded","1777038739433","0iahd8bgt0nnmocyndph","Electric vehicle charging should be publicly funded","1777038233357","1","false"
"fksripew6vimocyncyw","Scalability test room","69bxs9i295amocyndph","Electric vehicle charging should be publicly funded","1777038741728","0iahd8bgt0nnmocyndph","Electric vehicle charging should be publicly funded","1777038233357","1","false"
